epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
40,648.257,0.853,1.19799,1.36221,0.79841,0.70444,0.75306,0.47841,1.37052,1.75349,1.96997,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337,0.00307011,0.00102337
41,663.348,0.85262,1.12613,1.32345,0.84439,0.68524,0.74796,0.47821,1.37719,1.72349,1.9821,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
42,678.731,0.7893,1.10653,1.29645,0.7626,0.69997,0.75191,0.48084,1.39413,1.73328,1.96396,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365,0.00297109,0.000990365
43,694.164,0.81189,1.09578,1.32524,0.76713,0.69023,0.74433,0.46741,1.38749,1.73322,1.95278,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861,0.00292158,0.000973861
44,709.623,0.8538,1.09509,1.32601,0.78464,0.7059,0.75714,0.48008,1.38868,1.71076,2.01013,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358,0.00287207,0.000957358
45,725.24,0.80401,1.06561,1.33957,0.78858,0.70983,0.75836,0.48582,1.3833,1.68717,1.98997,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855,0.00282256,0.000940855
46,741.347,0.80934,1.06529,1.32424,0.77845,0.68542,0.7509,0.47185,1.42609,1.70124,2.0049,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
47,758.047,0.85836,1.13151,1.35487,0.82032,0.69997,0.76291,0.487,1.39263,1.67205,1.98951,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848,0.00272354,0.000907848
48,773.98,0.80898,1.09322,1.33698,0.73969,0.73018,0.74212,0.48897,1.39687,1.66321,1.99172,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345,0.00267403,0.000891345
49,790.126,0.81642,1.1358,1.3467,0.77873,0.69346,0.75076,0.48358,1.38983,1.68291,2.00962,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842,0.00262452,0.000874842
50,805.925,0.83574,1.1186,1.36914,0.81361,0.67932,0.74816,0.47798,1.41199,1.68414,2.03302,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338,0.00257501,0.000858338
51,822.505,0.80637,1.08635,1.32192,0.80879,0.74404,0.77107,0.47829,1.43346,1.67232,2.05182,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835,0.0025255,0.000841835
52,838.799,0.77927,1.04607,1.30918,0.85405,0.68058,0.74829,0.47,1.44288,1.68219,2.05768,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332,0.002476,0.000825332
53,856.223,0.79168,1.03298,1.30266,0.76446,0.70284,0.73786,0.46728,1.45873,1.6907,2.06912,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828,0.00242649,0.000808828
54,872.226,0.76437,1.00796,1.26969,0.68972,0.72806,0.72434,0.43912,1.45313,1.72146,2.06828,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325,0.00237698,0.000792325
55,887.883,0.80151,1.05847,1.3107,0.70165,0.74355,0.73161,0.45475,1.4182,1.65499,2.03083,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822,0.00232747,0.000775822
56,903.471,0.81904,1.04441,1.32245,0.78571,0.68083,0.74193,0.46054,1.41801,1.65497,2.03404,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318,0.00227796,0.000759318
57,918.788,0.75275,1.00075,1.27365,0.77896,0.69331,0.73667,0.44046,1.46838,1.68746,2.09096,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815,0.00222845,0.000742815
58,933.951,0.78212,1.0576,1.32484,0.75585,0.64202,0.71662,0.4538,1.42216,1.71852,2.05555,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312,0.00217894,0.000726312
59,948.112,0.74405,0.9638,1.27637,0.75412,0.67547,0.7237,0.44967,1.43904,1.6834,2.0745,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809,0.00212943,0.000709809
60,962.98,0.79082,1.10667,1.32489,0.80771,0.69079,0.73809,0.47492,1.40289,1.6398,2.0389,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305,0.00207992,0.000693305
61,978.512,0.77074,0.9484,1.28043,0.77482,0.72158,0.7477,0.48032,1.3918,1.61532,2.02595,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802,0.00203041,0.000676802
62,993.657,0.77469,0.95448,1.27897,0.77163,0.70771,0.74867,0.48515,1.40605,1.58782,2.01933,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299,0.0019809,0.000660299
63,1007.96,0.79482,1.02432,1.29725,0.77855,0.66933,0.73818,0.47124,1.43331,1.61748,2.06653,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795,0.00193139,0.000643795
64,1022.97,0.76124,0.95278,1.27955,0.80583,0.65609,0.719,0.45438,1.43832,1.65146,2.0901,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292,0.00188188,0.000627292
65,1037.27,0.72834,0.96977,1.27192,0.81989,0.64887,0.72044,0.45393,1.41502,1.617,2.0587,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789,0.00183237,0.000610789
66,1051.74,0.74472,0.94436,1.26746,0.79836,0.69298,0.73633,0.45782,1.38537,1.58934,2.02349,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286,0.00178286,0.000594286
67,1065.65,0.73686,0.94781,1.2543,0.7958,0.67939,0.73369,0.46805,1.34893,1.57784,1.98449,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782,0.00173335,0.000577782
68,1080.14,0.76564,0.9772,1.2845,0.76584,0.6668,0.73361,0.47112,1.40614,1.58603,2.02963,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279,0.00168384,0.000561279
69,1094.44,0.79057,1.01772,1.29095,0.72302,0.70598,0.73046,0.45942,1.44724,1.60562,2.07229,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776,0.00163433,0.000544776
70,1109.33,0.73132,0.95386,1.26185,0.82816,0.68574,0.74931,0.46212,1.47249,1.60706,2.0975,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272,0.00158482,0.000528272
71,1123.55,0.7059,0.93262,1.24021,0.82869,0.69586,0.76013,0.46928,1.46701,1.61423,2.11053,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769,0.00153531,0.000511769
72,1137.67,0.73097,0.92929,1.25787,0.84735,0.67824,0.75378,0.46433,1.43993,1.60903,2.10476,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266,0.0014858,0.000495266
73,1151.97,0.71914,0.92589,1.24784,0.86746,0.69624,0.77645,0.48051,1.41928,1.56597,2.06998,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762,0.00143629,0.000478762
74,1166.24,0.70896,0.8493,1.2298,0.85231,0.71442,0.77497,0.48878,1.43243,1.53458,2.07426,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259,0.00138678,0.000462259
75,1180.77,0.77044,0.97107,1.2789,0.79778,0.68549,0.75895,0.47292,1.46241,1.55354,2.09062,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756,0.00133727,0.000445756
76,1194.76,0.76472,0.97714,1.29929,0.76015,0.73655,0.75981,0.4635,1.47356,1.57537,2.10621,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253,0.00128776,0.000429253
77,1208.91,0.69391,0.86276,1.2422,0.81146,0.6814,0.74889,0.4615,1.43934,1.59338,2.09318,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749,0.00123825,0.000412749
78,1223.35,0.67994,0.87671,1.23053,0.76128,0.73553,0.75922,0.47397,1.42343,1.57662,2.0847,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246,0.00118874,0.000396246
79,1237.83,0.74291,0.90188,1.25752,0.78152,0.74745,0.76163,0.47755,1.40011,1.54998,2.06826,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743,0.00113923,0.000379743
80,1252.1,0.73105,0.89023,1.26228,0.78254,0.69235,0.75892,0.47019,1.42788,1.58333,2.08807,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239,0.00108972,0.000363239
81,1266.17,0.71509,0.87744,1.24453,0.75044,0.70747,0.75277,0.4634,1.43992,1.59115,2.09551,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736,0.00104021,0.000346736
