epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,28488.5,1.25247,0.89682,1.30817,0.83649,0.73807,0.82098,0.50821,1.30321,0.80524,1.34857,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,29097.4,1.24102,0.8643,1.29267,0.85954,0.73801,0.82437,0.5134,1.29903,0.7851,1.3418,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,29636.9,1.2379,0.86115,1.29502,0.86205,0.734,0.82678,0.51477,1.30141,0.78621,1.3433,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,30226.8,1.22354,0.85383,1.28276,0.85137,0.74089,0.81861,0.51519,1.29723,0.78217,1.33905,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,30794.6,1.22417,0.86402,1.28629,0.86771,0.74529,0.82872,0.52188,1.27748,0.76344,1.32547,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,31558.2,1.2069,0.83484,1.27753,0.85865,0.75126,0.82733,0.52281,1.29083,0.76123,1.33956,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,32150.4,1.19703,0.8278,1.27168,0.85349,0.75031,0.83096,0.52523,1.27421,0.76322,1.32943,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,32746.8,1.19172,0.82784,1.26661,0.86731,0.75546,0.82815,0.52964,1.25872,0.76127,1.32031,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,33339.6,1.1802,0.80624,1.25804,0.87758,0.74372,0.83278,0.53002,1.26288,0.75428,1.31494,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,34064.7,1.17087,0.79504,1.24971,0.87159,0.74826,0.83399,0.53108,1.2554,0.74689,1.3056,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,34648.5,1.17268,0.80574,1.25469,0.86325,0.75932,0.8334,0.53416,1.24799,0.74532,1.3115,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
